Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,22
design__inferred_latch__count,0
design__instance__count,58121
design__instance__area,4.41485E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,829
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,164
design__max_cap_violation__count__corner:nom_tt_025C_3v30,118
power__internal__total,0.006180396303534508
power__switching__total,0.0023205389734357595
power__leakage__total,0.000005310599590302445
power__total,0.008506245911121368
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.44722224411828804
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.41020518698432223
timing__hold__ws__corner:nom_tt_025C_3v30,0.8575795871724384
timing__setup__ws__corner:nom_tt_025C_3v30,4.512534473813669
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.857580
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,7.686308
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,2163
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,164
design__max_cap_violation__count__corner:nom_ss_125C_3v00,118
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.6157909911838297
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.5509397538568871
timing__hold__ws__corner:nom_ss_125C_3v00,1.9454989281351505
timing__setup__ws__corner:nom_ss_125C_3v00,-4.515442370042008
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-964.7433489589827
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-4.515442370042008
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.945499
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,327
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-4.515442
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,324
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,303
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,164
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,117
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.3727481484532539
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.34814327406333534
timing__hold__ws__corner:nom_ff_n40C_3v60,0.3873595998045563
timing__setup__ws__corner:nom_ff_n40C_3v60,5.170457985884402
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.387360
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,12.791480
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count__corner:nom_tt_025C_5v00,454
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,164
design__max_cap_violation__count__corner:nom_tt_025C_5v00,119
clock__skew__worst_hold__corner:nom_tt_025C_5v00,-0.3853712735779458
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.3577579167508123
timing__hold__ws__corner:nom_tt_025C_5v00,0.5221998536948057
timing__setup__ws__corner:nom_tt_025C_5v00,5.128555503214707
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.522200
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,11.389837
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,1185
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,164
design__max_cap_violation__count__corner:nom_ss_125C_4v50,120
clock__skew__worst_hold__corner:nom_ss_125C_4v50,-0.4781304376643616
clock__skew__worst_setup__corner:nom_ss_125C_4v50,0.4335331938375071
timing__hold__ws__corner:nom_ss_125C_4v50,1.166169416263591
timing__setup__ws__corner:nom_ss_125C_4v50,4.3386699905264665
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,0.0
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,0.0
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,1.166169
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,4.338670
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,0
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,238
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,164
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,119
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,-0.34241963012030713
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,0.3231688064180663
timing__hold__ws__corner:nom_ff_n40C_5v50,0.23398617039548034
timing__setup__ws__corner:nom_ff_n40C_5v50,5.395943400384515
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.233986
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,14.465535
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,2372
design__max_fanout_violation__count,164
design__max_cap_violation__count,131
